qeury metabbolite,gene,gene_type,modification,DeepVCF score,var
Metabolite:hdca_c,P76562,non-metabolic,knock out,1.379098e-05,3.0259545e-10
Metabolite:hdca_c,P0ABF8,metabolic,knock out,1.3708063e-05,7.130334e-10
Metabolite:hdca_c,P64429,non-metabolic,knock out,1.34281645e-05,7.172274e-10
Metabolite:hdca_c,P24242,non-metabolic,knock out,1.29103255e-05,3.6010883e-10
Metabolite:hdca_c,P00962,non-metabolic,knock out,1.2870189e-05,6.620697e-10
Metabolite:hdca_c,P0A799,metabolic,knock out,1.2433998e-05,4.669801e-10
Metabolite:hdca_c,P25742,metabolic,knock out,1.2290482e-05,5.943088e-10
Metabolite:hdca_c,P23930,metabolic,overexpress,1.2274187e-05,2.7336433e-10
Metabolite:hdca_c,P64423,non-metabolic,overexpress,1.2230016e-05,5.982113e-10
Metabolite:hdca_c,P0A7R9,non-metabolic,knock out,1.21579205e-05,5.911896e-10
Metabolite:hdca_c,P33570,metabolic,overexpress,1.181228e-05,2.0456503e-10
Metabolite:hdca_c,P07014,metabolic,knock out,1.1785562e-05,3.7135103e-10
Metabolite:hdca_c,P10908,metabolic,knock out,1.1726178e-05,2.5013863e-10
Metabolite:hdca_c,P21515,metabolic,overexpress,1.1699286e-05,3.815514e-10
Metabolite:hdca_c,P77743,non-metabolic,knock out,1.1509655e-05,5.135392e-10
Metabolite:hdca_c,P18392,non-metabolic,overexpress,1.1499091e-05,5.28794e-10
Metabolite:hdca_c,P77567,metabolic,knock out,1.1361859e-05,5.138667e-10
Metabolite:hdca_c,P0ABS1,non-metabolic,knock out,1.1095287e-05,2.2319843e-10
Metabolite:hdca_c,P02930,metabolic,knock out,1.07534715e-05,4.5916854e-10
Metabolite:hdca_c,P0CF42,non-metabolic,overexpress,1.0486387e-05,2.933654e-10
Metabolite:hdca_c,P0AG07,metabolic,overexpress,1.0088678e-05,3.7502668e-10
Metabolite:hdca_c,P27848,metabolic,overexpress,1.0081917e-05,3.9222275e-10
Metabolite:hdca_c,P0ABQ0,metabolic,knock out,1.0048468e-05,4.0207407e-10
Metabolite:hdca_c,P27848,metabolic,knock out,9.994833e-06,3.8526765e-10
Metabolite:hdca_c,P77187,non-metabolic,overexpress,9.838625e-06,3.2110065e-10
Metabolite:hdca_c,P0AF40,non-metabolic,overexpress,9.6984295e-06,3.162724e-10
Metabolite:hdca_c,P37757,non-metabolic,knock out,9.652677e-06,1.4797666e-10
Metabolite:hdca_c,P02359,non-metabolic,knock out,9.618818e-06,3.700303e-10
Metabolite:hdca_c,P67127,non-metabolic,overexpress,9.603347e-06,3.6889253e-10
Metabolite:hdca_c,P0A9Q1,non-metabolic,overexpress,8.9994e-06,3.1442948e-10
Metabolite:hdca_c,P25798,non-metabolic,overexpress,8.785186e-06,3.0478842e-10
Metabolite:hdca_c,P75960,non-metabolic,knock out,8.729639e-06,2.1003517e-10
Metabolite:hdca_c,P37652,non-metabolic,overexpress,8.694763e-06,3.0238334e-10
Metabolite:hdca_c,P05055,non-metabolic,knock out,8.385267e-06,2.801686e-10
Metabolite:hdca_c,P77736,non-metabolic,knock out,8.222907e-06,2.7014738e-10
Metabolite:hdca_c,P32674,metabolic,knock out,8.091061e-06,2.6169106e-10
Metabolite:hdca_c,P0AFM6,non-metabolic,knock out,7.830246e-06,6.496072e-11
Metabolite:hdca_c,P05793,metabolic,overexpress,7.776066e-06,1.7013725e-10
Metabolite:hdca_c,P0A6P9,metabolic,knock out,7.764064e-06,2.3855307e-10
Metabolite:hdca_c,P52045,metabolic,knock out,7.7604445e-06,2.2160787e-10
Metabolite:hdca_c,P0A7Z0,metabolic,knock out,7.681389e-06,2.0354199e-10
Metabolite:hdca_c,P37689,metabolic,overexpress,7.6588885e-06,9.640635e-11
Metabolite:hdca_c,P75936,non-metabolic,knock out,7.616196e-06,8.6675875e-11
Metabolite:hdca_c,P17169,metabolic,overexpress,7.5545795e-06,7.6577314e-11
Metabolite:hdca_c,P0A959,metabolic,overexpress,7.5268267e-06,1.9256434e-10
