CPX-1813	P06780 P40989
CPX-1814	P25638 P38768 Q03940 Q12464
CPX-6127	P32897 P39515 P53220 Q02776 Q02889
CPX-539	P0CS90 P32897 P36147 P38523 P39515 P42949 Q01852 Q02776 Q07914
CPX-1830	P06774 P13434 P14064 Q02516
CPX-1831	P06103 P32497 P38249 P40217 Q04067
CPX-1832	P16658 P39707 Q02825 Q04675
CPX-1833	P32915 P35179 P52870
CPX-1834	P35179 P38353 P52871
CPX-1835	P15367 P46965 Q04969 Q12133
CPX-1836	P32786 P40992 Q04712
CPX-1837	P53202 P53861 Q03071 Q08273
CPX-1838	P32323 P32781
CPX-1840	P40094 P53079 P53195 P53271 P53951 P53959 Q04632 Q06096
CPX-1846	P32345 P38193 P40164
CPX-1848	P38316 Q12380
CPX-1849	P38316 Q03818 Q12380
CPX-1850	P00899 P00937
CPX-1851	P22579 P32561 Q03010 Q04779 Q12432
CPX-1852	P22579 P31385 P32561 P38255 P38429 P40505 P50947 Q03010 Q07458 Q08923
CPX-1853	P25648 P38931 P39073 P47821
CPX-1854	P22214 P22804 P25385 Q01590
CPX-1855	P36015 P38736 P43682 Q01590
CPX-1856	P23594 P31383 Q00362
CPX-1857	P23594 P31383 P38903
CPX-1858	P23595 P31383 P38903
CPX-1859	P23595 P31383 Q00362
CPX-1861	P31539 P38276 Q12118 Q12125 Q12285
CPX-1862	P53261 Q04660 Q12024
CPX-1863	P20604 P40454 Q04372
CPX-1864	P20604 P43612
CPX-1865	P20604 P40856
CPX-1866	P20604 P36123
CPX-1867	P32908 P40541 P47037 Q12158
CPX-1868	P40090 Q04002
CPX-1869	P38170 P38989 Q06156 Q06680 Q12267
CPX-6643	P36119 P53137 P53327
CPX-608	P25554 P25649 P32494 Q02336 Q03330 Q12433
CPX-675	P06844 P25554 P32494 P32657 P35177 P38129 P38811 P50102 P50875 P53040 P53165 Q02336 Q03067 Q03330 Q03761 Q05027 Q12030 Q12060 Q6WNK7
CPX-392	P25374 P32463 Q03020 Q07540 Q12184 Q6Q560
CPX-6864	P53082 Q03835
CPX-6865	P32642 P53082
CPX-1192	P0C5R9 P16140 P17255 P22203 P23968 P25515 P31412 P32366 P32610 P32842 P37296 P39111 P41807 P48836 P53262 Q3E7B6
CPX-1193	P0C5R9 P16140 P17255 P22203 P23968 P25515 P31412 P32366 P32563 P32610 P32842 P39111 P41807 P48836 P53262 Q3E7B6
CPX-6928	Q02784 Q3E793
CPX-6930	P39724 Q02784
CPX-1872	P12753 P32829 P33301
CPX-1873	P28005 P38208 P38291 P38336 P38786 P40571 P41812 P53218 P53833
CPX-1686	O94742 P06704 P46674 Q08231 Q6WNK7
CPX-1881	P22219 P22543 P38270 Q02948 Q05789
CPX-1882	P0CE41 P10591 P25491 P25567
CPX-1883	P0CE41 P10592 P25491 P25567
CPX-1884	P53973 Q06623 Q06629
CPX-1885	P21374 P32523 P38302 P53277 Q03654 Q04048 Q06091 Q12309
CPX-1886	P36118 P53131 Q06411
CPX-1888	P25632 P32597 P32832 P38210 P38781 P43609 P53330 Q02206 Q03124 Q05123 Q06168 Q06488 Q06639 Q07979 Q12406 Q9URQ5
CPX-1889	P25632 P32597 P32832 P38210 P38781 P43609 P53236 P53330 Q02206 Q03124 Q05123 Q06168 Q06639 Q07979 Q12406 Q9URQ5
CPX-1890	P19658 P22224 P32844 P32855 P33332 P38261 P89102 Q06245
CPX-1891	P20433 P34087
CPX-1893	P32899 P47083 P53941
CPX-1894	P40512 P47130 Q03981 Q04368 Q12348 Q12468
CPX-1895	P25298 P25299 P39081 Q08685
CPX-1896	P25298 P25299 P39081 Q08685 Q99383
CPX-2662	P04050 P08518 P16370 P20433 P20434 P20435 P20436 P22139 P27999 P34087 P38902 P40422
CPX-1898	P32504 P35203 P40969 P52286
CPX-1899	P53148 Q04431
CPX-1900	P38283 P38991 P47134 Q3E7Y6
