dataset	taxaID	locus	gene	essentiality
108	83333	cysK	cysK	NE
108	83333	cysM	cysM	NE
108	83333	cysN	cysN	NE
108	83333	cysP	cysP	NE
108	83333	cysQ	cysQ	NE
108	83333	cysS	cysS	E
108	83333	cysT	cysT	C
108	83333	cysU	cysU	NE
108	83333	cysW	cysW	NE
108	83333	cysX	cysX	NE
108	83333	cysZ	cysZ	NE
108	83333	cytR	cytR	NE
108	83333	dacA	dacA	NE
108	83333	dacB	dacB	NE
108	83333	dacC	dacC	NE
108	83333	dacD	dacD	NE
108	83333	dadA	dadA	NE
108	83333	dadB	dadB	NE
108	83333	dadQ	dadQ	NE
108	83333	dadX	dadX	NE
108	83333	dam	dam	NE
108	83333	damX	damX	NE
108	83333	dapA	dapA	E
108	83333	dapB	dapB	E
108	83333	dapC	dapC	NE
108	83333	dapD	dapD	E
108	83333	dapE	dapE	E
108	83333	dapF	dapF	NE
108	83333	dauA	dauA	NE
108	83333	dbpA	dbpA	NE
108	83333	dcd	dcd	NE
108	83333	dcm	dcm	NE
108	83333	dcp	dcp	NE
108	83333	dcrB	dcrB	NE
108	83333	dctA	dctA	NE
108	83333	dctB	dctB	NE
108	83333	dctR	dctR	NE
108	83333	dcuA	dcuA	NE
108	83333	dcuB	dcuB	NE
108	83333	dcuC	dcuC	NE
108	83333	dcuD	dcuD	NE
108	83333	dcuR	dcuR	NE
108	83333	dcuS	dcuS	NE
108	83333	dcyD	dcyD	NE
108	83333	ddlA	ddlA	NE
108	83333	ddlB	ddlB	NE
108	83333	ddpA	ddpA	NE
108	83333	ddpB	ddpB	NE
108	83333	ddpC	ddpC	NE
108	83333	ddpD	ddpD	NE
108	83333	ddpF	ddpF	NE
108	83333	ddpX	ddpX	NE
108	83333	deaD	deaD	NE
108	83333	dedA	dedA	NE
108	83333	dedD	dedD	NE
108	83333	def	def	E
108	83333	degP	degP	NE
108	83333	degQ	degQ	NE
108	83333	degS	degS	E
108	83333	del	del	NE
108	83333	deoA	deoA	NE
108	83333	deoB	deoB	NE
108	83333	deoC	deoC	NE
108	83333	deoD	deoD	NE
108	83333	deoR	deoR	NE
108	83333	der	der	E
108	83333	dfp	dfp	E
108	83333	dgd	dgd	NE
108	83333	dgkA	dgkA	NE
108	83333	dgkR	dgkR	NE
108	83333	dgoA	dgoA	NE
108	83333	dgoD	dgoD	NE
108	83333	dgoK	dgoK	NE
108	83333	dgoR	dgoR	NE
108	83333	dgoT	dgoT	NE
108	83333	dgt	dgt	NE
108	83333	dhaK	dhaK	NE
108	83333	dhaL	dhaL	NE
108	83333	dhaM	dhaM	NE
108	83333	dhaR	dhaR	NE
108	83333	diaA	diaA	NE
108	83333	dicA	dicA	NE
108	83333	dicB	dicB	NE
108	83333	dicC	dicC	NE
108	83333	dicF	dicF	NE
108	83333	dinB	dinB	NE
108	83333	dinD	dinD	NE
108	83333	dinF	dinF	NE
108	83333	dinG	dinG	NE
108	83333	dinI	dinI	NE
108	83333	dinJ	dinJ	NE
108	83333	dinQ	dinQ	NE
108	83333	dinY	dinY	NE
